"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-12",,," 1712",,"59","42",,,,"  270",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-13",,," 1636",,"58","44",,,,"  293",,,,,"24.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-14",,," 1742",,"62","40",,,,"  293",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-15",,," 1948",,"60","42",,,,"  293",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-16",,," 1648",,"62","43",,,,"  293",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-17",,," 1736",,"60","39",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-18",,," 1206",,"54","45",,,,"  293",,,,,"43.6",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-19",,," 1600",,"57","39",,,,"  270",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-20",,," 0306",,"62","43",,,,"  360",,,,,"19.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-21",,," 1518",,"59","39",,,,"  293",,,,,"35.6",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-22",,," 1518",,"60","38",,,,"  270",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-23",,," 0742",,"60","39",,,,"   23",,,,,"24.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-24",,," 1736",,"60","37",,,,"  270",,,,,"19.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-25",,," 2336",,"56","46",,,,"  270",,,,,"28.9",
